IDData,Ano,MetadeDaDecada,Decada,Seculo
1,1956,Segunda Metade da Decada,1950,20
2,1957,Segunda Metade da Decada,1950,20
3,1958,Segunda Metade da Decada,1950,20
4,1959,Segunda Metade da Decada,1950,20
5,1960,Primeira Metade da Decada,1960,20
6,1961,Primeira Metade da Decada,1960,20
7,1962,Primeira Metade da Decada,1960,20
8,1963,Primeira Metade da Decada,1960,20
9,1964,Primeira Metade da Decada,1960,20
10,1965,Segunda Metade da Decada,1960,20
11,1966,Segunda Metade da Decada,1960,20
12,1967,Segunda Metade da Decada,1960,20
13,1968,Segunda Metade da Decada,1960,20
14,1969,Segunda Metade da Decada,1960,20
15,1970,Primeira Metade da Decada,1970,20
16,1971,Primeira Metade da Decada,1970,20
17,1972,Primeira Metade da Decada,1970,20
18,1973,Primeira Metade da Decada,1970,20
19,1974,Primeira Metade da Decada,1970,20
20,1975,Segunda Metade da Decada,1970,20
21,1976,Segunda Metade da Decada,1970,20
22,1977,Segunda Metade da Decada,1970,20
23,1978,Segunda Metade da Decada,1970,20
24,1979,Segunda Metade da Decada,1970,20
25,1980,Primeira Metade da Decada,1980,20
26,1981,Primeira Metade da Decada,1980,20
27,1982,Primeira Metade da Decada,1980,20
28,1983,Primeira Metade da Decada,1980,20
29,1984,Primeira Metade da Decada,1980,20
30,1985,Segunda Metade da Decada,1980,20
31,1986,Segunda Metade da Decada,1980,20
32,1987,Segunda Metade da Decada,1980,20
33,1988,Segunda Metade da Decada,1980,20
34,1989,Segunda Metade da Decada,1980,20
35,1990,Primeira Metade da Decada,1990,20
36,1991,Primeira Metade da Decada,1990,20
37,1992,Primeira Metade da Decada,1990,20
38,1993,Primeira Metade da Decada,1990,20
39,1994,Primeira Metade da Decada,1990,20
40,1995,Segunda Metade da Decada,1990,20
41,1996,Segunda Metade da Decada,1990,20
42,1997,Segunda Metade da Decada,1990,20
43,1998,Segunda Metade da Decada,1990,20
44,1999,Segunda Metade da Decada,1990,20
45,2000,Primeira Metade da Decada,2000,21
46,2001,Primeira Metade da Decada,2000,21
47,2002,Primeira Metade da Decada,2000,21
48,2003,Primeira Metade da Decada,2000,21
49,2004,Primeira Metade da Decada,2000,21
50,2005,Segunda Metade da Decada,2000,21
51,2006,Segunda Metade da Decada,2000,21
52,2007,Segunda Metade da Decada,2000,21
53,2008,Segunda Metade da Decada,2000,21
54,2009,Segunda Metade da Decada,2000,21
55,2010,Primeira Metade da Decada,2010,21
56,2011,Primeira Metade da Decada,2010,21
57,2012,Primeira Metade da Decada,2010,21
58,2013,Primeira Metade da Decada,2010,21
59,2014,Primeira Metade da Decada,2010,21
60,2015,Segunda Metade da Decada,2010,21
61,2016,Segunda Metade da Decada,2010,21
62,2017,Segunda Metade da Decada,2010,21
63,2018,Segunda Metade da Decada,2010,21
64,2019,Segunda Metade da Decada,2010,21
65,2020,Primeira Metade da Decada,2020,21
66,2021,Primeira Metade da Decada,2020,21
